Method,machine-1,machine-2,machine-3
AMAD,0.5338336677470797,0.6648324514991174,0.592067578175743
CAD,0.550414047396911,0.7168606079511615,0.6492791972618036
Catch,0.1480550993504135,0.2559476032128246,0.2612180959930781
CoarseGrainedMTS,0.2506407090592768,0.4549235664461688,0.3881447168380749
HMMoE,0.6142373041400495,0.7310648501824965,0.6358276315214109
HyperTimesNet,0.3549699485283593,0.2556122021749499,0.3488170422740566
LightMMoE,0.5572936347278447,0.726788693329791,0.6559854991222367
MTSExample,0.5980010973250769,0.7398678550847806,0.6542157845057526
MTSMixerLighter,0.3927266600865798,0.579503693455583,0.5625123414597093
MTSTimesNet,0.1669817568939499,0.2670145903479233,0.3663354322445227
NewTimesNet,0.3528060388493955,0.2709128613631891,0.3157681886227262
ReconstructionMTS,0.4770368520368516,0.4752052384902621,0.4346706825400881
TimeMixer,0.1781179349324508,0.2454620482398255,0.2353274811608141
