Method,machine-1,machine-2,machine-3
AMAD,0.6575007808728734,0.7643233696158611,0.7134059410854592
CAD,0.6777932362341756,0.8010552627995275,0.7489157531876015
Catch,0.1988766158647827,0.3094393298653525,0.3649510517620084
CoarseGrainedMTS,0.3468962439222604,0.511261839015503,0.4692236382414915
EnhancedVoting,0.5921269143628947,0.6582522500498149,0.5453330852817216
EventMaster,0.2582017193079994,0.3587596003315056,0.1879203077909597
HMMoE,0.7118924725629522,0.8140100655415696,0.7551549866615823
HyperTimesNet,0.5371817917413698,0.4319759709306463,0.4692029063566218
LightMMoE,0.6690655459301159,0.8263490677818238,0.7673078197591569
MAAT,0.3927297806171888,0.4638731839370295,0.53507443827195
MTSExample,0.6968462238011739,0.8354945837498057,0.7685030766970358
MTSMixerLighter,0.5733767845710669,0.6525290607781778,0.673486757473074
MTSTimesNet,0.2254560745778866,0.3261967922285971,0.4491110518012183
NewTimesNet,0.5465658726698981,0.4434352087969866,0.4522324392947756
OmniAnomaly,0.3237509755655993,0.3898184115748707,0.3086858736651325
ReconstructionMTS,0.568588070080686,0.539765616997788,0.5322581958824997
SmartSimpleAD,0.625643793418625,0.7778621530213861,0.6949397408718023
TimeMixer,0.2218758205002298,0.2766951271199134,0.3078562019207639
USAD,0.4638311372699259,0.4389081499245673,0.4328134184057629
VotingEnsemble,0.6014700706127766,0.5607794283082719,0.4907009316801483
